840207e5-a75a-47ab-a953-aea996810d64	eeaf2c65-9229-4249-8ea0-703769b9a319	\N	Seguros Novos	\N	t	2026-07-07 19:26:17.057142+00	2026-07-07 19:26:17.057142+00
a21c3964-e289-4e2d-9267-7ea3244e4647	eeaf2c65-9229-4249-8ea0-703769b9a319	\N	Pós-venda · WhatsApp	\N	f	2026-07-07 19:35:30.969605+00	2026-07-07 19:35:30.969605+00
48fdaf24-a49c-4d42-beea-67fdbe30e5d1	eeaf2c65-9229-4249-8ea0-703769b9a319	\N	Administrativo	\N	f	2026-07-07 19:54:26.522173+00	2026-07-07 19:54:26.522173+00
635b3eb5-3dcf-431f-aa66-b9bcb2b61401	eeaf2c65-9229-4249-8ea0-703769b9a319	\N	Sinistro	\N	f	2026-07-07 19:54:35.679012+00	2026-07-07 19:54:35.679012+00
e5e0b073-18ab-4d77-8b2c-75579af1dcbf	eeaf2c65-9229-4249-8ea0-703769b9a319	\N	Financeiro	\N	f	2026-07-07 19:54:53.938052+00	2026-07-07 19:54:53.938052+00
03b81270-f7a5-48f2-bf56-2eaab2d15bdd	eeaf2c65-9229-4249-8ea0-703769b9a319	\N	Renovação	\N	f	2026-07-07 19:55:01.469858+00	2026-07-07 19:55:01.469858+00
595eefbc-9a6b-49d9-bb45-30874aaa2f6c	eeaf2c65-9229-4249-8ea0-703769b9a319	\N	Consórcio	\N	f	2026-07-07 19:55:07.920414+00	2026-07-07 19:55:07.920414+00
da4982f0-7091-40a4-becd-50e319ba5037	c391f9a5-5ba1-44ed-8214-ddc60bba27f7	\N	Seguros Novos	\N	t	2026-07-13 23:40:40.913027+00	2026-07-13 23:40:40.913027+00
4bbd881e-21eb-4dd3-9dc9-e29e7894c7cf	c391f9a5-5ba1-44ed-8214-ddc60bba27f7	\N	Sinistros	\N	f	2026-07-13 23:40:40.913027+00	2026-07-13 23:40:40.913027+00
d3f6ee83-b080-4f6c-acbb-d3d16c86cdb6	c391f9a5-5ba1-44ed-8214-ddc60bba27f7	\N	Renovação de Seguros	\N	f	2026-07-13 23:40:40.913027+00	2026-07-13 23:40:40.913027+00
63cc039e-fc1a-4599-a723-6a85f0a754ea	c391f9a5-5ba1-44ed-8214-ddc60bba27f7	\N	Assistência	\N	f	2026-07-13 23:40:40.913027+00	2026-07-13 23:40:40.913027+00
79127b9d-3bd8-43b9-a217-2280f1e81081	c391f9a5-5ba1-44ed-8214-ddc60bba27f7	\N	Consórcio	\N	f	2026-07-14 00:19:20.771405+00	2026-07-14 00:19:20.771405+00
d83a2e9b-f893-4f66-944a-471d0441a5f1	c391f9a5-5ba1-44ed-8214-ddc60bba27f7	\N	Administrativo	\N	f	2026-07-14 00:19:20.771405+00	2026-07-14 00:19:20.771405+00
23722067-2a83-423f-bc98-0daa14885429	c391f9a5-5ba1-44ed-8214-ddc60bba27f7	\N	Financeiro	\N	f	2026-07-14 00:19:20.771405+00	2026-07-14 00:19:20.771405+00
